what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1569485787631
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1569485787844
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1569485787902
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1569485821086
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1569485873926
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1569485877856
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1569485878723
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1569485882167
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Terminate",1569485882215
closed,editor,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui.SourceNotFoundEditor",1569485882327
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1569485883925
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1569485886488
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1569485889957
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1569485889983
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1569485890008
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1569485892107
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1569485894318
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1569485894344
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1569485894358
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1569485900500
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1569485900538
error,log,,,"Error starting process.",1569485904515
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1569485904524
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1569485910307
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1569485914927
activated,perspective,com.altera.sbtgui.ui,11.0.0.208,"com.altera.sbtgui.ui.cPerspective",1569485914927
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.perspectives.showPerspective",1569485914938
executed,command,,,"com.altera.sbtgui.ui.cPerspective",1569485914938
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1569485922101
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1569485942165
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1569485953183
error,log,,,"Internal Error",1569485954583
error,log,,,"Problems encountered while deleting resources.",1569485954583
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1569485963776
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1569485963784
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1569485963784
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1569485969143
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1569485973202
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1569485975329
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1569485975333
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1569485975333
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1569485980221
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1569485985198
error,log,,,"Error starting process.",1569485989249
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1569485990017
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1569485993353
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1569485995924
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1569485995993
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.100.I20100509-0800,"org.eclipse.ui.views.properties.tabbed",1569486002129
opened,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1569486002156
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1569486002167
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1569486002978
activated,perspective,com.altera.sbtgui.ui,11.0.0.208,"com.altera.sbtgui.ui.debugPerspective",1569486007021
activated,perspective,com.altera.sbtgui.ui,11.0.0.208,"com.altera.sbtgui.ui.cPerspective",1569486014196
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.perspectives.showPerspective",1569486014209
executed,command,,,"com.altera.sbtgui.ui.cPerspective",1569486014209
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1569486015944
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1569486021524
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1569486023452
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1569486023455
