what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1569487841729
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1569487842914
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1569487843680
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1569487844587
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1569487845472
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1569487846699
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1569487848344
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1569487957428
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1569487958272
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1569488033985
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1569488035967
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1569488048908
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1569488050359
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1569488053717
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1569488055667
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1569488107901
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1569488139247
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1569488143132
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1569488146553
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1569488151271
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1569488165230
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1569488169446
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1569488170270
error,log,,,"The system console model is invalid. Cannot launch.",1569488183227
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1569488183247
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1569488293208
started,bundle,org.eclipse.osgi,3.6.1.R36x_v20100806,"org.eclipse.osgi",1569488293208
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1569488293209
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1569488293209
started,bundle,org.eclipse.cdt.core,5.2.1.201009141542,"org.eclipse.cdt.core",1569488293209
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1569488293210
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1569488293210
started,bundle,org.eclipse.cdt.make.core,7.0.0.201009141542,"org.eclipse.cdt.make.core",1569488293210
started,bundle,org.eclipse.cdt.make.ui,7.0.0.201009141542,"org.eclipse.cdt.make.ui",1569488293210
started,bundle,org.eclipse.cdt.managedbuilder.core,7.0.1.201009141542,"org.eclipse.cdt.managedbuilder.core",1569488293211
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201009141542,"org.eclipse.cdt.managedbuilder.gnu.ui",1569488293211
started,bundle,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui",1569488293211
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1569488293212
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1569488293212
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1569488293212
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1569488293213
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1569488293213
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1569488293213
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1569488293214
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1569488293214
started,bundle,org.eclipse.core.resources,3.6.0.R36x_v20100825-0600,"org.eclipse.core.resources",1569488293214
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1569488293215
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1569488293215
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1569488293215
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1569488293216
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1569488293216
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1569488293217
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.0.R201005261100,"org.eclipse.epp.usagedata.gathering",1569488293217
