what,kind,bundleId,bundleVersion,description,time
opened,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.MemoryView",1570087544948
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.MemoryView",1570087544970
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1570087547584
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1570087547653
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.MemoryView",1570087551145
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1570087583188
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1570087708435
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1570087709462
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1570087724171
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1570087725490
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Terminate",1570087725583
closed,editor,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui.SourceNotFoundEditor",1570087725692
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1570087727677
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1570087728737
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1570087728837
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1570087728898
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1570087729048
stopped,bundle,com.altera.debug.cdi.gdb.plugin,11.0.0.208,"com.altera.debug.cdi.gdb.plugin",1570087729048
